Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
41,30,Male,"Living with another (Married, Partnership)",Masters,,6,ASHANTI,District hospital,Allied health professionals,Laboratory,Medical laboratory ,Almost every day of the month,Fulltime,6,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
42,33,Female,"Living with another (Married, Partnership)",First Degree,,2,CENTRAL,District hospital,Allied health professionals,Laboratory,Medical laboratory,Almost every day of the month,Fulltime,7,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree
43,27,,Living alone,First Degree,,2,WESTERN NORTH,Health Center (Government),Nurse,Medical Unit,,Almost every day of the month,,5,No,No,Yes,No,,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree
44,55,,"Living with another (Married, Partnership)",Masters,,3,ASHANTI,District hospital,Medical Doctor,OPD,,Almost every day of the month,Fulltime,23,Yes,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree
45,37,Female,"Living with another (Married, Partnership)",First Degree,,2,EASTERN,CHAG Facility,Nurse,Emergency,,Almost every day of the month,Fulltime,3,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Strongly disagree
46,41,,"Living with another (Married, Partnership)",Masters,,1,WESTERN,District hospital,Allied health professionals,Laboratory,Medical Laboratory ,Almost every day of the month,Fulltime,12,Yes,Unsure,Yes,Yes,Direct Contact with COVID-19 patients,,,,,,,,,,,,,,,,,,,,,,,,,,
47,37,Female,"Living with another (Married, Partnership)",Diploma,,2,WESTERN,CHAG Facility,Nurse,Emergency,,Almost every day of the month,Fulltime,8,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree
48,35,Male,"Living with another (Married, Partnership)",Masters,,1,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Allied health ,Almost every day of the month,Fulltime,10,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree
49,42,,"Living with another (Married, Partnership)",Diploma,,3,NORTHERN,District hospital,Nurse,OPD,,Almost every day of the month,Fulltime,18,Yes,No,Unsure,No,,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly disagree,,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
50,38,,Living alone,First Degree,,2,ASHANTI,Teaching hospital,Nurse,Emergency,,Almost every day of the month,Fulltime,10,No,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree
51,37,,"Living with another (Married, Partnership)",First Degree,,1,EASTERN,CHAG Facility,Nurse,OPD,,Almost every day of the month,Fulltime,13,No,No,Yes,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
52,28,,Living alone,Diploma,,0,ASHANTI,Teaching hospital,Nurse,OPD,,Almost every day of the month,Fulltime,4,No,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,,Somwhat agree
53,28,,Living alone,Diploma,,0,ASHANTI,Teaching hospital,Nurse,OPD,,Almost every day of the month,Fulltime,4,No,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somwhat agree
54,31,,Prefer not to say,Ph.D./DrPH,,0,CENTRAL,Private Hospital,Allied health professionals,Laboratory,Biomedical scientist,About one day every 2 weeks,Part time,5,No,No,No,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
55,30,Female,Living alone,First Degree,,2,UPPER WEST,Private Hospital,Allied health professionals,Medical Unit,Administration,Almost every day of the month,Prefer not to say,2,Unsure,No,No,No,,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree
56,36,,"Living with another (Married, Partnership)",First Degree,,1,BONO,District hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Fulltime,3,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree
57,30,Male,Prefer not to say,Diploma,,5,UPPER WEST,District hospital,Nurse,Emergency,,No more than three days during each week,Prefer not to say,3,No,No,Yes,Yes,Unsure,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree
58,30,Female,Living alone,First Degree,,0,GREATER ACCRA,Private Hospital,Allied health professionals,Nutrition/Dietetics,AHPC,No more than three days during each week,Casual or locum staff,6,No,No,Yes,No,,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree
59,54,Male,"Living with another (Married, Partnership)",First Degree,,3,EASTERN,District hospital,Allied health professionals,OPD,Allied health,Almost every day of the month,Fulltime,17,No,No,Yes,No,,Strongly disagree,Strongly disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree
60,29,Female,Living alone,Diploma,,0,UPPER WEST,District hospital,Allied health professionals,RCH,Health promotion,Almost every day of the month,Fulltime,1,No,No,Yes,Yes,Unsure,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
61,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,28,Female,Living alone,First Degree,,4,ASHANTI,Private Hospital,Nurse,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),1,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somwhat agree
63,35,Male,"Living with another (Married, Partnership)",First Degree,,1,ASHANTI,District hospital,Medical Doctor,OPD,,Almost every day of the month,Fulltime,8,Yes,No,Yes,Unsure,,Somewhat disagree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree
64,26,Male,Living alone,First Degree,,0,WESTERN,CHAG Facility,Nurse,OPD,,Almost every day of the month,Fulltime,2,No,No,No,No,,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree
65,47,Male,Prefer not to say,Diploma,,0,GREATER ACCRA,Teaching hospital,Nurse,Emergency,,Almost every day of the month,Prefer not to say,6,No,No,Unsure,Yes,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree
66,23,,Living alone,First Degree,,0,EASTERN,Regional hospital,Allied health professionals,Imaging Unit,Radiology,Almost every day of the month,Prefer not to say,2,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree
67,37,,"Living with another (Married, Partnership)",First Degree,,1,EASTERN,CHAG Facility,Nurse,OPD,,Almost every day of the month,Fulltime,13,No,No,,Unsure,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
68,25,,Prefer not to say,Other,Certificate,2,GREATER ACCRA,Private Hospital,Nurse,Medical Unit,,About one day in the month,Prefer not to say,1,Unsure,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
69,30,,"Living with another (Married, Partnership)",Masters,,2,EASTERN,Regional hospital,Allied health professionals,Imaging Unit,Ghana Society of Radiographers ,Almost every day of the month,Fulltime,7,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree
